BU_CODE,pop,hh,p_hh_low_income,p_hh_lowest_20,p_hh_highest_40,cars_per_hh,nr_w_migr,nr_nw_migr,avg_inc_per_res,area_total,area_land,pop_density,house_price,nr_hh_low_income,1-nr_hh_low_income,nr_hh_lowest_20,nr_hh_highest_40,nr_migr,nr_dutch,p_w_migr,p_nw_migr,p_dutch,p_migr
BU03630408,875,605,0.133,0.54,0.132,0.3,240,140,,0.13,0.11,7792.0,474,80.465,524.535,326.70000000000005,79.86,380,495,0.2742857142857143,0.16,0.5657142857142857,0.4342857142857143
BU03630500,1915,1010,0.086,0.317,0.34299999999999997,1.8,420,470,,0.34,0.16,11913.0,629,86.86,923.14,320.17,346.42999999999995,890,1025,0.2193211488250653,0.2454308093994778,0.5352480417754569,0.46475195822454307
BU03630501,1510,1015,0.11800000000000001,0.5429999999999999,0.16899999999999998,0.3,400,220,,0.1,0.09,16221.0,491,119.77000000000001,895.23,551.145,171.535,620,890,0.26490066225165565,0.1456953642384106,0.5894039735099338,0.4105960264900662
BU03630502,2480,1510,0.13,0.522,0.165,0.3,625,470,,0.12,0.11,22665.0,458,196.3,1313.7,788.22,249.15,1095,1385,0.25201612903225806,0.18951612903225806,0.5584677419354839,0.4415322580645161
BU03630503,2905,1800,0.132,0.488,0.19899999999999998,0.4,725,420,36.6,0.22,0.15,19056.0,493,237.60000000000002,1562.4,878.4,358.2,1145,1760,0.2495697074010327,0.14457831325301204,0.6058519793459552,0.39414802065404475
BU03630505,335,255,0.172,0.6409999999999999,0.065,0.2,105,55,,0.02,0.02,18471.0,319,43.86,211.14,163.45499999999998,16.575,160,175,0.31343283582089554,0.16417910447761194,0.5223880597014925,0.47761194029850745
BU03630506,155,115,0.336,0.7909999999999999,0.052000000000000005,0.2,30,35,,0.02,0.01,12157.0,320,38.64,76.36,90.96499999999999,5.98,65,90,0.1935483870967742,0.22580645161290322,0.5806451612903226,0.41935483870967744
BU03630600,2720,1855,0.15,0.55,0.154,0.3,730,355,35.9,0.11,0.1,27663.0,386,278.25,1576.75,1020.2500000000001,285.67,1085,1635,0.26838235294117646,0.13051470588235295,0.6011029411764706,0.39889705882352944
BU03630602,2925,1870,0.106,0.48,0.207,0.3,830,355,42.1,0.13,0.11,25763.0,493,198.22,1671.78,897.6,387.09,1185,1740,0.28376068376068375,0.12136752136752137,0.5948717948717949,0.40512820512820513
BU03630603,1465,945,0.154,0.597,0.127,0.3,340,315,,0.07,0.06,26525.0,351,145.53,799.47,564.165,120.015,655,810,0.23208191126279865,0.2150170648464164,0.552901023890785,0.447098976109215
BU03630604,935,750,0.19,0.7120000000000001,0.066,0.2,260,225,,0.04,0.04,26727.0,279,142.5,607.5,534.0000000000001,49.5,485,450,0.27807486631016043,0.24064171122994651,0.48128342245989303,0.5187165775401069
BU03630605,190,115,0.155,0.423,0.198,0.3,55,35,,0.02,0.02,12567.0,459,17.825,97.175,48.644999999999996,22.77,90,100,0.2894736842105263,0.18421052631578946,0.5263157894736842,0.47368421052631576
BU03630606,4325,2890,0.135,0.546,0.16899999999999998,0.3,1225,625,39.8,0.21,0.19,22924.0,441,390.15000000000003,2499.85,1577.94,488.40999999999997,1850,2475,0.2832369942196532,0.14450867052023122,0.5722543352601156,0.4277456647398844
BU03630607,860,605,0.14,0.503,0.182,0.3,245,110,,0.05,0.05,18887.0,568,84.7,520.3,304.315,110.11,355,505,0.28488372093023256,0.12790697674418605,0.5872093023255814,0.4127906976744186
BU03630608,240,160,0.068,0.478,0.191,0.2,75,40,,0.05,0.04,6712.0,412,10.88,149.12,76.47999999999999,30.560000000000002,115,125,0.3125,0.16666666666666666,0.5208333333333334,0.4791666666666667
BU03630609,685,510,0.12300000000000001,0.574,0.10800000000000001,0.2,190,105,,0.05,0.04,16670.0,386,62.730000000000004,447.27,292.73999999999995,55.080000000000005,295,390,0.2773722627737226,0.15328467153284672,0.5693430656934306,0.4306569343065693
BU03630610,2100,1315,0.11800000000000001,0.503,0.201,0.4,535,210,,0.1,0.09,22183.0,480,155.17000000000002,1159.83,661.445,264.315,745,1355,0.25476190476190474,0.1,0.6452380952380953,0.3547619047619048
BU03630611,2950,1960,0.146,0.545,0.156,0.3,750,375,,0.12,0.11,26716.0,434,286.15999999999997,1673.8400000000001,1068.2,305.76,1125,1825,0.2542372881355932,0.1271186440677966,0.6186440677966102,0.3813559322033898
BU03630700,255,195,0.075,0.478,0.145,0.2,90,45,,0.03,0.03,10318.0,410,14.625,180.375,93.21,28.275,135,120,0.35294117647058826,0.17647058823529413,0.47058823529411764,0.5294117647058824
BU03630701,145,95,,,,0.3,60,30,,0.03,0.03,5377.0,474,,,,,90,55,0.41379310344827586,0.20689655172413793,0.3793103448275862,0.6206896551724138
BU03630702,990,720,0.111,0.5660000000000001,0.13699999999999998,0.3,325,175,,0.06,0.05,18383.0,481,79.92,640.08,407.52000000000004,98.63999999999999,500,490,0.3282828282828283,0.17676767676767677,0.494949494949495,0.5050505050505051
BU03630703,305,200,0.095,0.5429999999999999,0.23399999999999999,0.3,90,50,,0.05,0.04,7089.0,572,19.0,181.0,108.59999999999998,46.8,140,165,0.29508196721311475,0.16393442622950818,0.5409836065573771,0.45901639344262296
BU03630704,2420,1510,0.1,0.415,0.233,0.3,740,270,,0.14,0.12,20374.0,542,151.0,1359.0,626.65,351.83000000000004,1010,1410,0.30578512396694213,0.1115702479338843,0.5826446280991735,0.41735537190082644
BU03630705,1060,610,0.09699999999999999,0.40399999999999997,0.306,0.4,295,120,,0.11,0.1,11161.0,734,59.169999999999995,550.83,246.43999999999997,186.66,415,645,0.2783018867924528,0.11320754716981132,0.6084905660377359,0.3915094339622642
BU03630706,1155,750,0.109,0.43799999999999994,0.247,0.4,330,110,,0.07,0.06,20348.0,598,81.75,668.25,328.49999999999994,185.25,440,715,0.2857142857142857,0.09523809523809523,0.6190476190476191,0.38095238095238093
BU03630707,915,550,0.079,0.33799999999999997,0.342,0.7,265,105,,0.16,0.14,6739.0,677,43.45,506.55,185.89999999999998,188.10000000000002,370,545,0.2896174863387978,0.11475409836065574,0.5956284153005464,0.40437158469945356
BU03630800,3325,2020,0.12,0.523,0.2,0.5,895,595,41.4,0.28,0.21,15698.0,515,242.39999999999998,1777.6,1056.46,404.0,1490,1835,0.26917293233082706,0.17894736842105263,0.5518796992481203,0.4481203007518797
BU03630801,2150,1220,0.121,0.491,0.212,0.4,565,435,,0.21,0.18,11794.0,490,147.62,1072.38,599.02,258.64,1000,1150,0.2627906976744186,0.20232558139534884,0.5348837209302325,0.46511627906976744
BU03630803,1850,1095,0.079,0.369,0.29,0.5,490,240,,0.38,0.34,5419.0,594,86.505,1008.495,404.055,317.54999999999995,730,1120,0.2648648648648649,0.12972972972972974,0.6054054054054054,0.3945945945945946
BU03630804,405,245,0.09,0.43200000000000005,0.21600000000000003,0.3,105,55,,0.05,0.04,10184.0,484,22.05,222.95,105.84000000000002,52.92000000000001,160,245,0.25925925925925924,0.13580246913580246,0.6049382716049383,0.3950617283950617
BU03630900,80,35,,,,,10,15,,0.27,0.17,497.0,,,,,,25,55,0.125,0.1875,0.6875,0.3125
BU03630901,1710,1060,0.11199999999999999,0.643,0.11699999999999999,0.4,335,375,,0.12,0.09,19153.0,388,118.71999999999998,941.28,681.58,124.02,710,1000,0.195906432748538,0.21929824561403508,0.5847953216374269,0.4152046783625731
BU03630902,2190,1335,0.126,0.53,0.135,0.4,415,660,,0.18,0.12,17628.0,379,168.21,1166.79,707.5500000000001,180.22500000000002,1075,1115,0.18949771689497716,0.3013698630136986,0.5091324200913242,0.4908675799086758
BU03630903,1725,980,0.163,0.514,0.159,0.4,320,585,,0.25,0.2,8552.0,367,159.74,820.26,503.72,155.82,905,820,0.1855072463768116,0.3391304347826087,0.4753623188405797,0.5246376811594203
BU03630904,2385,1480,0.17,0.589,0.145,0.3,525,685,,0.11,0.1,22944.0,313,251.60000000000002,1228.4,871.7199999999999,214.6,1210,1175,0.22012578616352202,0.28721174004192873,0.49266247379454925,0.5073375262054507
BU03630905,1375,670,0.076,0.318,0.387,0.5,355,285,,0.09,0.07,18650.0,557,50.92,619.08,213.06,259.29,640,735,0.2581818181818182,0.20727272727272728,0.5345454545454545,0.46545454545454545
BU03630907,960,610,0.166,0.523,0.142,0.4,200,190,,0.07,0.05,17562.0,434,101.26,508.74,319.03000000000003,86.61999999999999,390,570,0.20833333333333334,0.19791666666666666,0.59375,0.40625
BU03630908,2810,1760,0.127,0.49200000000000005,0.19,0.5,640,400,36.8,0.22,0.17,16542.0,457,223.52,1536.48,865.9200000000001,334.4,1040,1770,0.2277580071174377,0.1423487544483986,0.6298932384341637,0.3701067615658363
BU03631000,30,15,,,,,10,10,,3.02,1.44,21.0,,,,,,20,10,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
BU03631001,5,5,,,,,5,5,,0.41,0.41,,,,,,,10,-5,1.0,1.0,-1.0,2.0
BU03631002,0,0,,,,,0,0,,3.22,1.94,,,,,,,0,0,,,,
BU03631003,25,10,,,,,5,5,,5.7,3.85,7.0,,,,,,10,15,0.2,0.2,0.6,0.4
BU03631004,5,5,,,,,5,0,,0.7,0.7,,,,,,,5,0,1.0,0.0,0.0,1.0
BU03631005,80,75,,,,2.1,35,10,,10.12,7.02,12.0,,,,,,45,35,0.4375,0.125,0.4375,0.5625
BU03631006,5,0,,,,,0,0,,5.36,4.31,,,,,,,0,5,0.0,0.0,1.0,0.0
BU03631007,10,5,,,,,5,5,,0.47,0.42,26.0,,,,,,10,0,0.5,0.5,0.0,1.0
BU03631100,25,10,,,,,15,10,,0.46,0.46,58.0,,,,,,25,0,0.6,0.4,0.0,1.0
BU03631102,0,0,,,,,0,0,,0.8,0.78,,,,,,,0,0,,,,
BU03631103,80,60,,,,,20,40,,2.11,2.08,39.0,,,,,,60,20,0.25,0.5,0.25,0.75
BU03631104,20,10,,,,,5,0,,1.13,1.0,23.0,,,,,,5,15,0.25,0.0,0.75,0.25
BU03631105,730,650,0.162,0.79,0.017,1.4,350,230,,0.86,0.85,859.0,,105.3,544.7,513.5,11.05,580,150,0.4794520547945205,0.3150684931506849,0.2054794520547945,0.7945205479452054
BU03631107,0,0,,,,,0,0,,0.84,0.78,,,,,,,0,0,,,,
BU03631109,0,0,,,,,0,0,,1.49,1.25,,,,,,,0,0,,,,
BU03631200,1735,860,0.066,0.21600000000000003,0.45799999999999996,0.5,370,235,,0.66,0.3,5700.0,515,56.760000000000005,803.24,185.76000000000002,393.88,605,1130,0.2132564841498559,0.13544668587896252,0.6512968299711815,0.34870317002881845
BU03631201,655,405,0.11699999999999999,0.368,0.271,0.5,165,75,,0.26,0.02,28420.0,538,47.385,357.615,149.04,109.75500000000001,240,415,0.25190839694656486,0.11450381679389313,0.6335877862595419,0.366412213740458
BU03631300,2080,1090,0.139,0.49700000000000005,0.156,0.4,415,720,,0.1,0.09,22739.0,366,151.51000000000002,938.49,541.73,170.04,1135,945,0.19951923076923078,0.34615384615384615,0.4543269230769231,0.5456730769230769
BU03631301,2755,1690,0.218,0.627,0.10099999999999999,0.3,455,1000,25.9,0.11,0.1,27622.0,337,368.42,1321.58,1059.63,170.69,1455,1300,0.16515426497277677,0.3629764065335753,0.47186932849364793,0.5281306715063521
BU03631302,1010,610,0.151,0.5529999999999999,0.146,0.4,205,270,,0.06,0.05,20653.0,329,92.11,517.89,337.33,89.05999999999999,475,535,0.20297029702970298,0.26732673267326734,0.5297029702970297,0.47029702970297027
BU03631303,1670,930,0.14400000000000002,0.561,0.14300000000000002,0.3,340,400,,0.08,0.08,22078.0,316,133.92000000000002,796.0799999999999,521.73,132.99,740,930,0.20359281437125748,0.23952095808383234,0.5568862275449101,0.4431137724550898
BU03631304,1295,765,0.158,0.562,0.111,0.4,235,390,,0.06,0.06,22653.0,344,120.87,644.13,429.93000000000006,84.915,625,670,0.18146718146718147,0.30115830115830117,0.5173745173745173,0.4826254826254826
BU03631305,1950,1095,0.177,0.56,0.132,0.4,335,690,,0.12,0.12,16388.0,365,193.815,901.185,613.2,144.54000000000002,1025,925,0.1717948717948718,0.35384615384615387,0.47435897435897434,0.5256410256410257
BU03631306,0,0,,,,,0,0,,0.26,0.24,,,,,,,0,0,,,,
BU03631307,5,5,,,,,5,5,,0.63,0.63,,,,,,,10,-5,1.0,1.0,-1.0,2.0
BU03631400,1380,830,0.135,0.534,0.17800000000000002,0.3,285,350,,0.07,0.06,21709.0,390,112.05000000000001,717.95,443.22,147.74,635,745,0.20652173913043478,0.2536231884057971,0.5398550724637681,0.4601449275362319
BU03631401,885,555,0.18899999999999997,0.614,0.109,0.3,180,240,,0.05,0.04,24902.0,353,104.89499999999998,450.105,340.77,60.495,420,465,0.2033898305084746,0.2711864406779661,0.5254237288135594,0.4745762711864407
BU03631402,1205,755,0.168,0.635,0.099,0.3,220,420,,0.07,0.06,20480.0,321,126.84,628.16,479.425,74.745,640,565,0.1825726141078838,0.34854771784232363,0.46887966804979253,0.5311203319502075
BU03631403,3720,2320,0.165,0.529,0.131,0.3,925,990,31.3,0.11,0.1,35855.0,321,382.8,1937.2,1227.28,303.92,1915,1805,0.24865591397849462,0.2661290322580645,0.4852150537634409,0.5147849462365591
BU03631404,2875,1795,0.139,0.48100000000000004,0.154,0.3,750,660,32.9,0.1,0.1,29234.0,330,249.50500000000002,1545.495,863.3950000000001,276.43,1410,1465,0.2608695652173913,0.22956521739130434,0.5095652173913043,0.49043478260869566
BU03631405,3090,1710,0.105,0.41100000000000003,0.23600000000000002,0.4,680,690,36.6,0.13,0.11,27380.0,433,179.54999999999998,1530.45,702.8100000000001,403.56,1370,1720,0.22006472491909385,0.22330097087378642,0.5566343042071198,0.44336569579288027
BU03631500,1345,615,0.083,0.33,0.26,0.3,250,320,,0.07,0.06,21142.0,459,51.045,563.955,202.95000000000002,159.9,570,775,0.18587360594795538,0.2379182156133829,0.5762081784386617,0.42379182156133827
BU03631501,10,5,,,,,5,0,,0.28,0.26,43.0,,,,,,5,5,0.5,0.0,0.5,0.5
BU03631502,70,30,,,,,10,5,,0.15,0.14,505.0,,,,,,15,55,0.14285714285714285,0.07142857142857142,0.7857142857142857,0.21428571428571427
BU03631503,1050,620,0.12300000000000001,0.527,0.157,0.4,220,330,,0.07,0.06,18082.0,372,76.26,543.74,326.74,97.34,550,500,0.20952380952380953,0.3142857142857143,0.47619047619047616,0.5238095238095238
BU03631600,3845,2380,0.135,0.528,0.165,0.3,960,755,34.2,0.21,0.18,21019.0,368,321.3,2058.7,1256.64,392.70000000000005,1715,2130,0.24967490247074123,0.19635890767230169,0.5539661898569571,0.4460338101430429
BU03631601,3250,2075,0.162,0.525,0.158,0.3,750,795,36.2,0.12,0.11,28727.0,347,336.15000000000003,1738.85,1089.375,327.85,1545,1705,0.23076923076923078,0.24461538461538462,0.5246153846153846,0.4753846153846154
BU03631602,1210,685,0.107,0.452,0.191,0.4,235,245,,0.08,0.06,19427.0,431,73.295,611.705,309.62,130.835,480,730,0.19421487603305784,0.2024793388429752,0.6033057851239669,0.39669421487603307
BU03631700,4640,2890,0.10400000000000001,0.475,0.21,0.4,1215,745,38.8,0.26,0.22,21352.0,446,300.56,2589.44,1372.75,606.9,1960,2680,0.26185344827586204,0.16056034482758622,0.5775862068965517,0.4224137931034483
BU03631800,2725,1485,0.133,0.521,0.177,0.3,530,705,,0.11,0.1,28411.0,410,197.50500000000002,1287.495,773.6850000000001,262.84499999999997,1235,1490,0.1944954128440367,0.25871559633027524,0.5467889908256881,0.45321100917431195
BU03631801,3795,2380,0.127,0.48700000000000004,0.177,0.3,945,840,37.8,0.16,0.16,24318.0,362,302.26,2077.74,1159.0600000000002,421.26,1785,2010,0.2490118577075099,0.22134387351778656,0.5296442687747036,0.47035573122529645
BU03631900,2250,1515,0.13,0.519,0.156,0.3,630,420,,0.09,0.07,30952.0,379,196.95000000000002,1318.05,786.2850000000001,236.34,1050,1200,0.28,0.18666666666666668,0.5333333333333333,0.4666666666666667
BU03631901,2875,1765,0.192,0.644,0.08199999999999999,0.3,480,1235,24.9,0.12,0.11,25393.0,331,338.88,1426.12,1136.66,144.73,1715,1160,0.16695652173913045,0.4295652173913043,0.40347826086956523,0.5965217391304348
BU03631902,1895,1225,0.161,0.551,0.133,0.3,430,525,,0.07,0.06,29872.0,340,197.225,1027.775,674.975,162.925,955,940,0.22691292875989447,0.2770448548812665,0.49604221635883905,0.503957783641161
BU03632000,2635,1565,0.067,0.409,0.263,0.4,745,300,45.7,0.11,0.1,25421.0,588,104.855,1460.145,640.0849999999999,411.595,1045,1590,0.2827324478178368,0.11385199240986717,0.603415559772296,0.396584440227704
BU03632001,2515,1605,0.159,0.5379999999999999,0.192,0.4,610,415,,0.17,0.16,15347.0,532,255.195,1349.805,863.4899999999999,308.16,1025,1490,0.24254473161033796,0.16500994035785288,0.5924453280318092,0.40755467196819084
BU03632002,2305,1410,0.102,0.423,0.233,0.3,635,310,,0.07,0.07,34263.0,444,143.82,1266.18,596.43,328.53000000000003,945,1360,0.2754880694143167,0.13449023861171366,0.5900216919739696,0.40997830802603036
BU03632100,5710,3555,0.102,0.442,0.22899999999999998,0.3,1605,835,41.4,0.21,0.2,29019.0,415,362.60999999999996,3192.39,1571.31,814.0949999999999,2440,3270,0.28108581436077057,0.14623467600700527,0.5726795096322241,0.4273204903677758
BU03632101,2205,1270,0.07400000000000001,0.446,0.268,0.4,555,280,,0.1,0.1,21786.0,533,93.98000000000002,1176.02,566.42,340.36,835,1370,0.25170068027210885,0.12698412698412698,0.6213151927437641,0.3786848072562358
BU03632200,935,545,0.087,0.39799999999999996,0.325,0.5,315,135,,0.13,0.13,7444.0,1006,47.415,497.585,216.90999999999997,177.125,450,485,0.33689839572192515,0.1443850267379679,0.5187165775401069,0.48128342245989303
BU03632201,900,475,0.107,0.47600000000000003,0.272,0.5,220,150,,0.09,0.09,9913.0,831,50.824999999999996,424.175,226.10000000000002,129.20000000000002,370,530,0.24444444444444444,0.16666666666666666,0.5888888888888889,0.4111111111111111
BU03632300,480,305,0.004,0.271,0.368,1.0,125,170,,0.83,0.8,602.0,558,1.22,303.78,82.655,112.24,295,185,0.2604166666666667,0.3541666666666667,0.3854166666666667,0.6145833333333334
BU03632301,0,0,,,,,0,0,,0.37,0.36,,,,,,,0,0,,,,
BU03632302,160,125,,,,0.2,45,85,,0.46,0.45,357.0,,,,,,130,30,0.28125,0.53125,0.1875,0.8125
BU03632303,2240,1370,0.028999999999999998,0.355,0.32799999999999996,1.8,655,890,,0.22,0.22,10337.0,651,39.73,1330.27,486.34999999999997,449.35999999999996,1545,695,0.2924107142857143,0.39732142857142855,0.31026785714285715,0.6897321428571429
BU03632304,960,845,0.139,0.8740000000000001,0.062,0.2,260,290,,0.29,0.29,3315.0,638,117.45500000000001,727.545,738.5300000000001,52.39,550,410,0.2708333333333333,0.3020833333333333,0.4270833333333333,0.5729166666666666
BU03632400,2540,1590,0.106,0.46299999999999997,0.23399999999999999,0.4,655,365,,0.14,0.12,21713.0,493,168.54,1421.46,736.17,372.06,1020,1520,0.2578740157480315,0.1437007874015748,0.5984251968503937,0.4015748031496063
BU03632401,1995,1325,0.157,0.562,0.158,0.2,560,465,,0.11,0.1,20156.0,431,208.025,1116.975,744.6500000000001,209.35,1025,970,0.2807017543859649,0.23308270676691728,0.48621553884711777,0.5137844611528822
BU03632402,2600,1735,0.121,0.479,0.19,0.3,780,460,41.0,0.12,0.11,23235.0,453,209.935,1525.065,831.0649999999999,329.65,1240,1360,0.3,0.17692307692307693,0.5230769230769231,0.47692307692307695
BU03632403,2585,1750,0.155,0.5770000000000001,0.133,0.3,660,620,34.1,0.08,0.08,32381.0,367,271.25,1478.75,1009.7500000000001,232.75,1280,1305,0.2553191489361702,0.23984526112185686,0.504835589941973,0.4951644100580271
BU03632404,5030,3385,0.122,0.535,0.165,0.3,1385,935,37.6,0.23,0.23,22179.0,402,412.96999999999997,2972.03,1810.9750000000001,558.525,2320,2710,0.2753479125248509,0.18588469184890655,0.5387673956262425,0.46123260437375746
BU03632500,2615,1800,0.149,0.605,0.14800000000000002,0.3,595,580,34.2,0.12,0.11,24450.0,377,268.2,1531.8,1089.0,266.40000000000003,1175,1440,0.22753346080305928,0.22179732313575526,0.5506692160611855,0.44933078393881454
BU03632501,3805,2425,0.127,0.48100000000000004,0.201,0.4,1015,750,38.9,0.14,0.14,27922.0,413,307.975,2117.025,1166.4250000000002,487.425,1765,2040,0.266754270696452,0.19710906701708278,0.5361366622864652,0.46386333771353483
